0:	proc  - (:root:) creates proc  0 (:init:)
Starting Shuttle with pid 1
  1:	proc  0 (:init::1) creates proc  1 (Shuttle)
  1:	proc  0 (:init::1) problem1-retry.pml:190 (state 1)	[(run Shuttle(4,2,1,0))]
Starting Shuttle with pid 2
  2:	proc  0 (:init::1) creates proc  2 (Shuttle)
  2:	proc  0 (:init::1) problem1-retry.pml:191 (state 2)	[(run Shuttle(2,4,1,1))]
Starting Shuttle with pid 3
  3:	proc  0 (:init::1) creates proc  3 (Shuttle)
  3:	proc  0 (:init::1) problem1-retry.pml:192 (state 3)	[(run Shuttle(5,1,2,2))]
Starting Shuttle with pid 4
  4:	proc  0 (:init::1) creates proc  4 (Shuttle)
  4:	proc  0 (:init::1) problem1-retry.pml:193 (state 4)	[(run Shuttle(3,3,3,3))]
  5:	proc  0 (:init::1) problem1-retry.pml:194 (state 5)	[]
  6:	proc  0 (:init::1) problem1-retry.pml:194 (state 6)	[first.size = 4]
  7:	proc  0 (:init::1) problem1-retry.pml:194 (state 7)	[first.start = 1]
  8:	proc  0 (:init::1) problem1-retry.pml:194 (state 8)	[first.end = 3]
  9:	proc  0 (:init::1) problem1-retry.pml:195 (state 9)	[]
 10:	proc  0 (:init::1) problem1-retry.pml:195 (state 10)	[second.size = 2]
 11:	proc  0 (:init::1) problem1-retry.pml:195 (state 11)	[second.start = 2]
 12:	proc  0 (:init::1) problem1-retry.pml:195 (state 12)	[second.end = 3]
Starting ShuttleManagementSystem with pid 5
 13:	proc  0 (:init::1) creates proc  5 (ShuttleManagementSystem)
 13:	proc  0 (:init::1) problem1-retry.pml:196 (state 13)	[(run ShuttleManagementSystem(first.start,first.end,first.size,second.start,second.end,second.size))]
Starting RailwayNetwork with pid 6
 14:	proc  0 (:init::1) creates proc  6 (RailwayNetwork)
 14:	proc  0 (:init::1) problem1-retry.pml:197 (state 14)	[(run RailwayNetwork())]
 15:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:38 (state 1)	[orders[0].start = first.start]
 16:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:38 (state 2)	[orders[0].end = first.end]
 17:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:38 (state 3)	[orders[0].size = first.size]
 18:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:39 (state 4)	[orders[1].start = second.start]
 19:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:39 (state 5)	[orders[1].end = second.end]
 20:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:39 (state 6)	[orders[1].size = second.size]
 21:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:41 (state 7)	[i = 0]
 22:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:41 (state 8)	[i = 0]
 24:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:41 (state 9)	[((i<=(2-1)))]
 25:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 10)	[j = 0]
 26:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 11)	[j = 0]
 28:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 12)	[((j<=(4-1)))]
 29:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:44 (state 13)	[managementOrders[j]!orders[i].start,orders[i].end,orders[i].size]
 30:	proc  1 (Shuttle:1) problem1-retry.pml:80 (state 1)	[managementOrders[id]?order.start,order.end,order.size]
 31:	proc  1 (Shuttle:1) problem1-retry.pml:82 (state 2)	[currentPosition = 0]
 32:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 14)	[j = (j+1)]
 34:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 12)	[((j<=(4-1)))]
 35:	proc  1 (Shuttle:1) problem1-retry.pml:84 (state 5)	[else]
 36:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:44 (state 13)	[managementOrders[j]!orders[i].start,orders[i].end,orders[i].size]
 37:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 14)	[j = (j+1)]
 38:	proc  1 (Shuttle:1) problem1-retry.pml:84 (state 6)	[currentPosition = currentStation]
 40:	proc  1 (Shuttle:1) problem1-retry.pml:87 (state 9)	[distance = 0]
 41:	proc  1 (Shuttle:1) problem1-retry.pml:89 (state 12)	[else]
 42:	proc  1 (Shuttle:1) problem1-retry.pml:89 (state 13)	[distance = (order.start-currentPosition)]
 45:	proc  1 (Shuttle:1) problem1-retry.pml:93 (state 18)	[else]
 46:	proc  5 (ShuttleManagementSystem:1) problem1-retry.pml:43 (state 12)	[((j<=(4-1)))]
 47:	proc  1 (Shuttle:1) problem1-retry.pml:93 (state 19)	[distance = distance]
 48:	proc  2 (Shuttle:1) problem1-retry.pml:80 (state 1)	[managementOrders[id]?order.start,order.end,order.size]
 49:	proc  2 (Shuttle:1) problem1-retry.pml:82 (state 2)	[currentPosition = 0]
